number,manufacturer,bland,price,shelfprice,adp,sh,sgmnt,cals,fat,sugar,z1adp,z1cals,z1fat ,z1sugar,z2adp,z2cals,z2fat ,z2sugar,z3adp,z3cals,z3fat ,z3sugar,gsh,sh0
1,KG,CornFlakes,1.81,1.95,7.109,0.0567,Fam,100,0,2,3.063529412,129.4117647,1.117647059,9.529411765,2.546272727,150.9393939,1.860606061,10.34545455,2.777693878,146.5510204,1.640816327,10.27346939,0.184750733,0.2429
2,GM,Cheerios,3.16,3.47,7.287,0.0438,Fam,110,2,1,2.562611111,135.5555556,1.683333333,11.16666667,2.8063125,147.84375,1.503125,9.48125,2.774061224,146.3469388,1.6,10.29387755,0.142717498,0.2429
3,KG,RiceKrispies,2.96,3.2,6.034,0.0404,Fam,120,0,3,3.126764706,128.2352941,1.117647059,9.470588235,2.546272727,150.9393939,1.860606061,10.34545455,2.799632653,146.1428571,1.640816327,10.25306122,0.13163897,0.2429
4,KG,FrostedFlakes,2.52,2.68,7.867,0.0382,Fam,120,0,13,3.018941176,128.2352941,1.117647059,8.882352941,2.546272727,150.9393939,1.860606061,10.34545455,2.76222449,146.1428571,1.640816327,10.04897959,0.124470512,0.2429
5,KG,RaisinBran,2.34,2.5,5.591,0.0273,Fam,200,1.5,18,3.152823529,123.5294118,1.029411765,8.588235294,2.546272727,150.9393939,1.860606061,10.34545455,2.808673469,144.5102041,1.610204082,9.946938776,0.088954057,0.2429
6,GM,Total,3.61,4.04,3.926,0.0236,Adult,110,1,5,2.749333333,135.5555556,1.738888889,10.94444444,2.8063125,147.84375,1.503125,9.48125,2.842653061,146.3469388,1.620408163,10.2122449,0.071667173,0.2429
7,GM,HoneyNutCheerios,3.14,3.41,4.03,0.0226,Fam,120,1.5,11,2.743555556,135,1.711111111,10.61111111,2.8063125,147.84375,1.503125,9.48125,2.840530612,146.1428571,1.610204082,10.08979592,0.073639622,0.2429
8,KG,SpecialK,3.48,3.78,3.531,0.0216,Adult,110,0,3,3.274,128.8235294,1.117647059,9.470588235,2.546272727,150.9393939,1.860606061,10.34545455,2.850714286,146.3469388,1.640816327,10.25306122,0.065593684,0.2429
9,PT,GrapeNuts,2.14,2.29,6.74,0.0212,Adult,200,1,7,2.505833333,125,1.616666667,9.916666667,2.760022727,143.8863636,1.584090909,9.975,2.78522449,144.5102041,1.620408163,10.17142857,0.064378986,0.2429
10,NB,SpoonSizeShdWt,2.81,3.05,0.025,0.0208,Adult,170,0.5,0,0.975,105.3333333,0.566666667,3.2,2.984382979,144.5744681,1.663829787,10.54893617,2.922265306,145.122449,1.630612245,10.31428571,0.063164288,0.2429
11,QK,100%Natural,2.24,2.55,1.612,0.0196,Adult,220,8,13.5,0.7965,111.25,1.375,8.45,3.009086957,143.826087,1.454347826,9.958695652,2.889877551,144.1020408,1.47755102,10.03877551,0.059520194,0.2429
